"/:,@!","a、以你的习气，要是腾讯规则每发一次emoji表情就收一次费，你就得破产了
b、心理学说喜欢用emoji表情表达自我的妹子内心很缺乏安全感呢
c、见到我这么开心啊/见到我会紧张啊/见到我会窃喜啊/见到我你很得意啊/见到我有怀孕的觉得啊（将一切表情与自己拉上联络）"
"/:,@-D","a、欧巴准备去写点东西，明天叫欧巴起床哟
b、这么久才酝酿出这么一个微笑
c、脸红满面，不是害羞就是暗恋"
"/:,@P","a、爱笑的菇凉运气都不会差，所以遇到了我
b、你好像在说，等了这么久"
"/:,@o","a、以你的习气，要是腾讯规则每发一次emoji表情就收一次费，你就得破产了
b、心理学说喜欢用emoji表情表达自我的妹子内心很缺乏安全感呢
c、见到我这么开心啊/见到我会紧张啊/见到我会窃喜啊/见到我你很得意啊/见到我有怀孕的觉得啊（将一切表情与自己拉上联络）"
/:8*,这小眼神，秒杀了多少像我一样的帅哥
/:8-),戴着墨镜也掩盖不了看见帅哥直勾勾的小眼神
/::!,革命尚未成功，同志仍需努力！加油，看好你哟
/::$,"a、看你面相不俗，一定是个好媳妇
b、害羞不是病，逃避才要命"
/::'(,"a、你用的givenchy（纪梵希）柔雾粉底老贵啦（展示时尚）
b、宝宝再哭要把妆脸哭花了"
/::'|,这小眼神，秒杀了多少像我一样的帅哥
/::),"a、发现你挺爱笑，应该是个心地善良花枝招展的姑娘
b、还带防备的微笑，放心我会撩你的
c、暖暖的微笑是快乐的开始"
/::*,我感受到你对我的喜爱了呢
"/::,@","a、以你的习气，要是腾讯规则每发一次emoji表情就收一次费，你就得破产了
b、心理学说喜欢用emoji表情表达自我的妹子内心很缺乏安全感呢
c、见到我这么开心啊/见到我会紧张啊/见到我会窃喜啊/见到我你很得意啊/见到我有怀孕的觉得啊（将一切表情与自己拉上联络）"
/::<,"a、把妆都哭花了，你要我怎么记得你的样子
b、你用的givenchy（纪梵希）柔雾粉底老贵啦（展示时尚）
c、宝宝再哭要把妆脸哭花了"
/::>,嘴张这么大，会被强吻
/::B,你这么色，我很担心我会被你榨干
/::D,"a、以你的习气，要是腾讯规则每发一次emoji表情就收一次费，你就得破产了
b、心理学说喜欢用emoji表情表达自我的妹子内心很缺乏安全感呢
c、见到我这么开心啊/见到我会紧张啊/见到我会窃喜啊/见到我你很得意啊/见到我有怀孕的觉得啊（将一切表情与自己拉上联络）"
